福建移动,#genre#
CCTV1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/index.m3u8
CCTV2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV3,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227445/index.m3u8
CCTV4,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8
CCTV5,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227283/index.m3u8
CCTV6,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227438/index.m3u8
CCTV7,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225927/index.m3u8
CCTV8,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227449/index.m3u8
CCTV9,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8
CCTV10,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8
CCTV11,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8
CCTV12,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8
CCTV13,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
CCTV14,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225933/index.m3u8
CCTV15,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8
CCTV16,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227125/index.m3u8
CCTV17,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226986/index.m3u8
CCTV5+,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8
CCTV16 4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227162/index.m3u8
凤凰卫视中文台,http://223.105.252.59/PLTV/3/224/3221228527/index.m3u8
凤凰卫视资讯台,http://223.105.252.59/PLTV/3/224/3221228524/index.m3u8
凤凰香港台,http://223.105.252.59/PLTV/3/224/3221228530/index.m3u8

北京卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227246/index.m3u8
天津卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227205/index.m3u8
河北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227063/index.m3u8
山西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227258/index.m3u8
内蒙古卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227244/index.m3u8
辽宁卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227141/index.m3u8
吉林卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227099/index.m3u8
黑龙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227197/index.m3u8
东方卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227059/index.m3u8
江苏卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227160/index.m3u8
浙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227193/index.m3u8
安徽卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227178/index.m3u8
江西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227209/index.m3u8
山东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227236/index.m3u8
河南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227095/index.m3u8
湖北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227111/index.m3u8
湖南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227232/index.m3u8
广东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227164/index.m3u8
广西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227250/index.m3u8
海南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227216/index.m3u8
重庆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227240/index.m3u8
四川卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227182/index.m3u8
